Filename,SUBJID,EdgeGNN_0,EdgeGNN_1,EdgeGNN_2,EdgeGNN_3,EdgeGNN_4,EdgeGNN_5,EdgeGNN_6,EdgeGNN_7,EdgeGNN_8,EdgeGNN_9,EdgeGNN_10,EdgeGNN_11,EdgeGNN_12,EdgeGNN_13,EdgeGNN_14,EdgeGNN_15,EdgeGNN_16,EdgeGNN_17,EdgeGNN_18,EdgeGNN_19,EdgeGNN_20,EdgeGNN_21,EdgeGNN_22,EdgeGNN_23,EdgeGNN_24,EdgeGNN_25,EdgeGNN_26,EdgeGNN_27,EdgeGNN_28,EdgeGNN_29,EdgeGNN_30,EdgeGNN_31
10025.xlsx,10025,0.26714447,0.15137488,0.6449291,0.6234795,0.20507057,0.33599365,0.63488275,0.41096336,0.3544668,0.3717997,0.2280629,0.34665355,0.46997947,0.6875973,0.31447244,0.5220214,0.31401932,0.27980113,0.5304705,0.15596029,0.41566807,0.3199463,0.47585812,0.43306243,0.5345701,0.59352434,0.46533585,0.41713482,0.27827838,0.14106016,0.23947744,0.26386866
10026.xlsx,10026,0.36595654,0.33913234,0.3558781,0.3452508,0.27648318,0.19896212,0.5682529,0.43235645,0.20306382,0.39693534,0.38153315,0.20602696,0.43952164,0.797485,0.36245206,0.67669463,0.39358604,0.5877377,0.26452655,0.23963448,0.1233965,0.7351821,0.7531007,0.577231,0.37885347,0.34502348,0.3023533,0.4155373,0.3887067,0.20643897,0.14041997,0.30508894
10027.xlsx,10027,0.40301603,0.3202468,0.4315594,0.46406883,0.38189092,0.35795382,0.44704947,0.4122765,0.37174353,0.5183818,0.31545442,0.45133996,0.56277615,0.47070238,0.4799987,0.35495517,0.4787252,0.2973088,0.36971596,0.27462226,0.37421376,0.2933461,0.30170473,0.29232627,0.47006598,0.40409592,0.37962738,0.47449732,0.4350952,0.27371264,0.4015792,0.39646456
10028.xlsx,10028,0.20435576,0.23937866,0.7718648,0.93432814,0.1923177,0.5522888,0.6892593,0.28613776,0.62482876,0.32959002,0.14281921,0.7034017,0.36732697,0.6550779,0.32448637,0.39861456,0.33807817,0.32559216,0.67911005,0.22885463,0.5409158,0.09731112,0.17941241,0.29792827,0.52031434,0.33875692,0.32631487,0.4085504,0.33367413,0.23750195,0.4586913,0.22834973
10029.xlsx,10029,0.24808791,0.4538276,0.55460626,0.7337527,0.2270851,0.46438998,0.5913399,0.30667636,0.51464945,0.3499799,0.2175235,0.5811511,0.38430724,0.6625938,0.3351218,0.41093117,0.40928456,0.5212027,0.5149692,0.3548067,0.39581946,0.30150563,0.35471046,0.3570772,0.43949658,0.3904615,0.33336952,0.42429638,0.3327318,0.32848644,0.35148317,0.29594985
10030.xlsx,10030,0.25388816,0.44895303,0.46042016,0.5586162,0.23918232,0.41664279,0.4589552,0.27372488,0.42232898,0.37138078,0.19895071,0.4158402,0.39362842,0.49606496,0.35913044,0.3553197,0.45612273,0.4961353,0.4440193,0.46538177,0.369951,0.22163256,0.29236993,0.39441612,0.4623241,0.39466858,0.3356336,0.47952363,0.30037022,0.41532525,0.39471734,0.31819916
10031.xlsx,10031,0.66907585,0.088965364,0.24775536,0.16383238,0.5887896,0.123197116,0.40179428,0.65072656,0.14155899,0.7208558,0.659407,0.13498847,0.7557842,0.4595363,0.57969826,0.404303,0.472048,0.28699213,0.17480524,0.078245476,0.1325967,0.5457989,0.56683326,0.37323543,0.43464518,0.6089115,0.5501553,0.46522832,0.46663794,0.11233786,0.17273822,0.5748316
10032.xlsx,10032,0.3108864,0.47003564,0.26595193,0.17688774,0.23549178,0.122035965,0.43142387,0.5385341,0.12311512,0.37170577,0.4840467,0.067965694,0.42234156,0.60221004,0.39138588,0.6768845,0.44091207,0.7831422,0.18123785,0.3514135,0.07318627,0.6144135,0.8720516,0.66292566,0.3558128,0.32745567,0.2857659,0.49998558,0.26137862,0.27442974,0.08666223,0.23442043
10033.xlsx,10033,0.12575623,0.85509247,0.5474409,0.7825964,0.14127582,0.5420286,0.59033185,0.14653623,0.50304323,0.1903303,0.18965712,0.57911587,0.19919117,0.6798745,0.2011831,0.43497476,0.39938542,0.91857964,0.5485734,0.70866597,0.3623367,0.31144634,0.32851565,0.62196535,0.3852662,0.1087346,0.10449477,0.38799793,0.2822639,0.5569432,0.35167515,0.20853671
10034.xlsx,10034,0.24043593,0.5766828,0.37226647,0.38286415,0.19623962,0.28405935,0.44430158,0.42690036,0.25795785,0.3230353,0.30848387,0.14931628,0.40622258,0.546512,0.3513105,0.47442994,0.43314052,0.72111297,0.33283755,0.51846445,0.20476191,0.3949063,0.5527972,0.57604265,0.39477575,0.35203448,0.2992192,0.50998247,0.21105951,0.3910792,0.19297253,0.22778645
10035.xlsx,10035,0.5463557,0.13290074,0.37666842,0.29898512,0.4517176,0.15813744,0.5967503,0.3900716,0.16388646,0.57124776,0.43001425,0.24019162,0.5583609,0.775379,0.44173527,0.6305119,0.33533764,0.2937874,0.2386271,0.085024185,0.170525,0.75717574,0.6278092,0.31864104,0.42512047,0.5011874,0.4341046,0.30608544,0.57600385,0.13954328,0.16519088,0.45960116
10036.xlsx,10036,0.6173454,0.101288535,0.3688102,0.2894729,0.5255503,0.15728165,0.5903396,0.4982254,0.17509241,0.6353958,0.5621756,0.23534927,0.6436409,0.7716872,0.4960413,0.6508113,0.38994887,0.3270495,0.23407274,0.07068275,0.19374205,0.75851685,0.6945532,0.33867043,0.3923971,0.55407953,0.49773678,0.35814384,0.5392364,0.09091509,0.17624243,0.50974107
10037.xlsx,10037,0.3286413,0.37730387,0.45933136,0.4703594,0.28650135,0.30538025,0.4920142,0.36421326,0.2996343,0.4259475,0.27489492,0.29720008,0.4863728,0.55661726,0.38263884,0.45103416,0.40541467,0.4236908,0.39369395,0.32165614,0.26327318,0.3400693,0.44379747,0.43196544,0.45399922,0.44055548,0.38054737,0.44041815,0.28862965,0.32055295,0.23941156,0.31652457
10038.xlsx,10038,0.5972668,0.1020596,0.5879776,0.5132717,0.59379625,0.2977777,0.5359807,0.5010153,0.42124975,0.7199394,0.50275403,0.5923384,0.6886958,0.5173012,0.58945245,0.4129725,0.36456513,0.15283649,0.43029222,0.09413835,0.5165103,0.30631176,0.3490777,0.17566402,0.46826446,0.568585,0.6247272,0.33902982,0.6489049,0.15998621,0.48156008,0.55363905
10039.xlsx,10039,0.529813,0.14454052,0.2842548,0.16471823,0.4200617,0.116919644,0.5487408,0.61636454,0.10617441,0.53144485,0.5960585,0.09916351,0.59673256,0.74233377,0.46949536,0.75600046,0.39280087,0.51964414,0.19223914,0.08036668,0.08090006,0.85419774,1.0257744,0.5215982,0.49784747,0.3748445,0.3631138,0.4085308,0.49540925,0.088754565,0.091736436,0.38379756
10040.xlsx,10040,0.25849664,0.3745264,0.55600834,0.6656015,0.25763384,0.42156395,0.54410994,0.23141305,0.49122337,0.37801155,0.159613,0.5684153,0.39260685,0.58700615,0.3354292,0.3725616,0.4141639,0.36238682,0.4851602,0.2927101,0.41635802,0.2596305,0.2983683,0.34847966,0.47840026,0.4465562,0.37855154,0.42179486,0.38598,0.30944386,0.4203908,0.32952353
